HEIGHT,GENDER
56,Female
57,Female
58,Female
60,Female
60,Female
60,Female
60,Female
60,Female
60,Female
60,Female
61,Female
61,Female
61,Female
61,Female
61,Female
61,Female
61,Female
61,Female
61,Female
61,Female
62,Female
62,Female
62,Female
62,Female
62,Female
62,Female
62,Female
62,Female
62,Female
62,Female
62,Female
62,Female
62,Female
62,Female
62,Female
62,Female
62,Female
62,Female
62,Female
62,Female
62,Female
62,Female
62,Female
62,Female
62.5,Female
63,Female
63,Female
63,Female
63,Female
63,Female
63,Female
63,Female
63,Female
63,Female
63,Female
63,Female
63,Female
63,Female
63,Female
63,Female
63,Female
63,Female
63,Female
63,Female
63,Female
64,Female
64,Female
64,Female
64,Female
64,Female
64,Female
64,Female
64,Female
64,Female
64,Female
64,Female
64,Female
64,Female
64,Female
64,Female
64,Female
64,Female
64,Female
64,Female
64,Female
64,Female
64,Female
64,Female
64,Female
64,Female
64,Female
64,Female
64,Female
64,Female
64,Female
64,Female
64,Female
64,Female
64,Female
64,Female
64,Female
64,Female
64,Female
64,Female
64,Female
64,Female
64.5,Female
64.5,Female
64.5,Female
64.5,Female
65,Female
65,Female
65,Female
65,Female
65,Female
65,Female
65,Female
65,Female
65,Female
65,Female
65,Female
65,Female
65,Female
65,Female
65,Female
65,Female
65,Female
65,Female
65,Female
65,Female
65,Female
65,Female
65,Female
65,Female
65,Female
65,Female
65,Female
65,Female
65,Female
65.5,Female
65.5,Female
65.5,Female
65.5,Female
65.5,Female
66,Female
66,Female
66,Female
66,Female
66,Female
66,Female
66,Female
66,Female
66,Female
66,Female
66,Female
66,Female
66,Female
66,Female
66,Female
66,Female
66,Female
66,Female
66,Female
66,Female
66,Female
66,Female
66,Female
66,Female
66,Female
66,Female
66,Female
66,Female
66,Female
66,Female
66,Female
66,Female
66,Female
66,Female
66.5,Female
67,Female
67,Female
67,Female
67,Female
67,Female
67,Female
67,Female
67,Female
67,Female
67,Female
67,Female
67,Female
67,Female
67,Female
67,Female
67,Female
67,Female
67,Female
67,Female
67,Female
67,Female
67,Female
67,Female
67,Female
67,Female
67,Female
67,Female
67,Female
67,Female
67,Female
67,Female
67.5,Female
67.5,Female
67.5,Female
67.5,Female
68,Female
68,Female
68,Female
68,Female
68,Female
68,Female
68,Female
68,Female
68,Female
68,Female
68,Female
68,Female
68,Female
68,Female
68,Female
68,Female
68,Female
69,Female
69,Female
69,Female
69,Female
69,Female
69,Female
69,Female
69,Female
69,Female
69,Female
69,Female
69,Female
70,Female
70,Female
70,Female
70,Female
70,Female
71,Female
71,Female
71,Female
71.5,Female
72,Female
72,Female
72,Female
72,Female
72,Female
72,Female
72,Female
76,Female
77,Female
92,Female
62,Male
65,Male
65,Male
65,Male
65,Male
66,Male
66,Male
66.5,Male
67,Male
67,Male
67,Male
67,Male
68,Male
68,Male
68,Male
68,Male
68,Male
68.5,Male
69,Male
69,Male
69,Male
69,Male
69,Male
69,Male
69,Male
69,Male
69,Male
69,Male
69,Male
69.5,Male
70,Male
70,Male
70,Male
70,Male
70,Male
70,Male
70,Male
70,Male
70,Male
70,Male
70,Male
70,Male
70,Male
70,Male
70,Male
70,Male
70,Male
70,Male
70,Male
70,Male
70,Male
70,Male
70,Male
70,Male
70.5,Male
71,Male
71,Male
71,Male
71,Male
71,Male
71,Male
71,Male
71,Male
71,Male
71,Male
71,Male
71,Male
71,Male
71,Male
71,Male
71,Male
71,Male
71,Male
71,Male
72,Male
72,Male
72,Male
72,Male
72,Male
72,Male
72,Male
72,Male
72,Male
72,Male
72,Male
73,Male
73,Male
73,Male
73,Male
73,Male
73,Male
73,Male
73,Male
73,Male
73,Male
73,Male
73.5,Male
74,Male
74,Male
74,Male
74,Male
74,Male
74,Male
74,Male
74,Male
74.5,Male
75,Male
75,Male
75,Male
75,Male
75,Male
76,Male
76,Male
78,Male
78,Male
78,Male
78,Male
