id,vocab,bidirectional,embeddings,maxlen,lstm,punct,optimizer,loss,acc,epochs,elapsed_time,timeout,max_epochs
2,2000,True,50,500,128,False,adam,0.4928,0.8982,53,304.1196,5,300
2,2000,True,50,500,128,False,adam,0.3955,0.8952,23,125.7064,2,300
4,2000,True,50,100,128,False,adam,0.5657,0.8772,81,120.6921,2,300
4,2000,True,50,100,128,False,adam,0.6285,0.8772,39,60.3842,1,300
3,2000,False,50,100,128,False,adam,0.5774,0.8743,71,60.4953,1,300
3,2000,False,50,100,128,False,adam,0.6163,0.8743,131,120.2492,2,300
2,2000,True,50,500,256,False,adam,0.4315,0.8653,23,244.3459,4,300
11,2000,False,50,100,128,False,sgd_fast,0.5559,0.8623,140,120.6153,2,300
3,2000,True,50,100,256,False,adam,0.8462,0.8443,101,240.4771,4,300
12,2000,True,50,100,128,False,sgd_fast,0.8061,0.8413,83,120.9795,2,300
15,2000,False,50,100,128,False,sgd_fast,0.6087,0.8383,68,60.1698,1,300
16,2000,True,50,100,128,False,sgd_fast,0.7017,0.8323,43,61.3981,1,300
10,2000,True,50,500,128,False,sgd_fast,0.4846,0.8323,22,121.1248,2,300
1,2000,True,50,1000,128,False,adam,0.5347,0.8293,28,302.967,5,300
4,10000,True,50,500,128,False,adam,0.7263,0.8263,53,303.3534,5,300
14,5000,True,50,500,128,False,adam,0.6019,0.8263,23,125.7325,2,300
1,10000,True,50,250,128,False,adam,0.9727,0.8204,137,421.5811,7,300
19,2000,False,50,100,128,False,rmsprop,0.776,0.8204,65,60.5531,1,300
3,10000,True,50,1000,128,False,adam,0.6769,0.8204,29,307.6756,5,300
2,2000,True,50,500,128,False,adam,0.6162,0.8174,11,64.7963,1,300
5,5000,True,50,500,256,False,adam,0.6599,0.8114,23,248.876,4,300
1,10000,True,50,500,128,False,adam,0.8398,0.8084,107,603.615,10,300
15,5000,False,50,100,128,False,adam,0.8818,0.8084,150,120.3467,2,300
23,5000,False,50,100,128,False,sgd_fast,1.0206,0.7964,181,120.6232,2,300
20,2000,True,50,100,128,False,rmsprop,0.9811,0.7844,40,60.7592,1,300
1,2000,True,50,1000,256,False,adam,0.6238,0.7844,13,254.8257,4,300
6,5000,True,50,100,256,False,adam,0.8847,0.7754,102,240.9037,4,300
16,5000,True,50,100,128,False,adam,1.158,0.7754,91,120.4933,2,300
24,5000,True,50,100,128,False,sgd_fast,1.154,0.7515,95,120.9669,2,300
22,5000,True,50,500,128,False,sgd_fast,0.7716,0.7515,22,121.861,2,300
4,5000,True,50,1000,256,False,adam,0.8057,0.7036,12,242.2238,4,300
11,2000,False,50,100,128,False,sgd,0.9598,0.6527,75,60.2815,1,300
2,10000,True,50,250,256,False,adam,1.4916,0.6407,73,421.229,7,300
19,5000,False,50,100,128,False,adam_fast,1.0632,0.6317,174,120.4612,2,300
20,5000,True,50,100,128,False,adam_fast,1.3474,0.6257,94,120.9894,2,300
14,2000,True,50,500,128,False,sgd_fast,1.1006,0.6257,11,62.9458,1,300
18,2000,True,50,500,128,False,rmsprop,1.3563,0.5778,11,60.7055,1,300
12,2000,True,50,100,128,False,sgd,1.0653,0.5749,42,60.3734,1,300
18,5000,True,50,500,128,False,adam_fast,1.5102,0.3713,22,121.1156,2,300
24,2000,True,50,100,128,False,rmsprop_fast,3.202,0.3593,39,60.2369,1,300
10,2000,True,50,500,128,False,sgd,1.5815,0.2964,10,61.8832,1,300
8,2000,True,50,100,128,False,adam_fast,1.5865,0.2814,80,121.0258,2,300
6,2000,True,50,500,128,False,adam_fast,2.7904,0.2635,11,64.7018,1,300
1,2000,False,50,500,128,False,adam,1.5981,0.2575,24,61.8042,1,300
13,5000,False,50,500,128,False,adam,1.6051,0.2545,49,122.1461,2,300
7,2000,False,50,100,128,False,adam_fast,1.6385,0.2545,66,60.4862,1,300
6,2000,True,50,500,128,False,adam_fast,2.2424,0.2545,22,120.5751,2,300
5,2000,False,50,500,128,False,adam_fast,1.9013,0.2545,49,120.8465,2,300
21,5000,False,50,500,128,False,sgd_fast,1.6016,0.2545,49,122.1586,2,300
7,2000,False,50,100,128,False,adam_fast,1.6352,0.2545,136,120.9815,2,300
9,2000,False,50,500,128,False,sgd,1.5994,0.2545,22,62.032,1,300
13,2000,False,50,500,128,False,sgd_fast,1.601,0.2545,23,62.388,1,300
17,5000,False,50,500,128,False,adam_fast,1.61,0.2545,49,121.8198,2,300
5,2000,False,50,500,128,False,adam_fast,1.6666,0.2275,24,62.1312,1,300
9,2000,False,50,500,128,False,sgd_fast,1.6029,0.2275,48,120.2943,2,300
17,2000,False,50,500,128,False,rmsprop,1.6006,0.2246,25,61.3492,1,300
1,2000,False,50,500,128,False,adam,1.5987,0.2246,49,121.1541,2,300
8,2000,True,50,100,128,False,adam_fast,1.7427,0.2186,43,61.0881,1,300
21,2000,False,50,500,128,False,rmsprop_fast,3.6434,0.1796,25,61.6707,1,300
23,2000,False,50,100,128,False,rmsprop_fast,4.6118,0.1317,64,60.6401,1,300
22,2000,True,50,500,128,False,rmsprop_fast,11.8482,0.1317,11,60.9247,1,300
